submission_pk,User,b'Score',b'AScore'
830410,aithena_hcmus,16.00 (1),16.00 (1),
830454,annivators,15.80 (2),15.80 (2),
830393,siuchampion,15.80 (2),15.80 (2),
830307,ToTuanAn,15.80 (2),15.80 (2),
830335,huyvuong0859,15.60 (3),15.60 (3),
830326,phamgiakiet273,15.60 (3),15.60 (3),
830312,aio_aisight,15.40 (4),15.40 (4),
830271,capybarahcmut,15.40 (4),15.40 (4),
830443,polieste,15.20 (5),15.20 (5),
830392,SIU_AIC_COMP,15.20 (5),15.20 (5),
830252,aio_naktho,15.20 (5),15.20 (5),
830434,ThePANKalliance,15.00 (6),15.00 (6),
830401,Nietzsche,15.00 (6),15.00 (6),
830305,dolphin_team2357,15.00 (6),15.00 (6),
830235,DoThaiDuong_Unknown,15.00 (6),15.00 (6),
830225,lTIPl,15.00 (6),15.00 (6),
830223,Thereddinosaur,15.00 (6),15.00 (6),
830214,zoanhy,15.00 (6),15.00 (6),
830446,jenicius,14.80 (7),14.80 (7),
830394,snapseek,14.80 (7),14.80 (7),
830263,AIO_BrainyBots,14.80 (7),14.80 (7),
830436,STRIVERS,14.60 (8),14.60 (8),
830405,ldn694,14.60 (8),14.60 (8),
830377,quangtudubai,14.60 (8),14.60 (8),
830323,nhomhai,14.60 (8),14.60 (8),
830469,uit22520982,14.20 (9),14.20 (9),
830452,tb-tian,14.20 (9),14.20 (9),
830397,Giant_Ants,14.20 (9),14.20 (9),
830244,InventedForFuture,14.20 (9),14.20 (9),
830423,mtoan65,14.00 (10),14.00 (10),
830379,EmberintheAshes,14.00 (10),14.00 (10),
830278,Rookie_UIT,14.00 (10),14.00 (10),
830243,cieldt,14.00 (10),14.00 (10),
830465,hungvtm,13.80 (11),13.80 (11),
830457,Melody-HCMC-AI-Challenge,13.80 (11),13.80 (11),
830413,Chicken,13.80 (11),13.80 (11),
830396,Artemis5,13.80 (11),13.80 (11),
830381,dauli_battu,13.80 (11),13.80 (11),
830383,TuDaiThachHau,13.80 (11),13.80 (11),
