submission_pk,User,b'Score',b'AScore'
824853,Rookie_UIT,12.60 (1),12.60 (1),
825338,STRIVERS,12.40 (2),12.40 (2),
824850,polieste,12.40 (2),12.40 (2),
825124,snapseek,12.20 (3),12.20 (3),
824885,Nietzsche,12.20 (3),12.20 (3),
825282,raumuongxaothitbo,11.80 (4),11.80 (4),
825224,lTIPl,11.80 (4),11.80 (4),
825291,aio_naktho,11.60 (5),11.60 (5),
825242,dauli_battu,11.60 (5),11.60 (5),
825521,aioyoungbird,11.40 (6),11.40 (6),
825117,TuDaiThachHau,11.20 (7),11.20 (7),
825525,annivators,11.00 (8),11.00 (8),
825332,uit22520982,11.00 (8),11.00 (8),
825295,huyvuong0859,11.00 (8),11.00 (8),
825267,Th3Boys,11.00 (8),11.00 (8),
824946,HeoCa,11.00 (8),11.00 (8),
825281,Melody-HCMC-AI-Challenge,10.80 (9),10.80 (9),
825264,Duc0811,10.80 (9),10.80 (9),
825237,cieldt,10.80 (9),10.80 (9),
825477,SIU_AIC_COMP,10.60 (10),10.60 (10),
825330,quangtudubai,10.60 (10),10.60 (10),
825097,capybarahcmut,10.60 (10),10.60 (10),
825348,phatvu,10.40 (11),10.40 (11),
825294,mtoan65,10.40 (11),10.40 (11),
825526,capyAI,10.20 (12),10.20 (12),
825273,AIO_Signore,10.20 (12),10.20 (12),
825150,hermes_aic2024,10.00 (13),10.00 (13),
824954,ThePANKalliance,10.00 (13),10.00 (13),
825289,Artemis5,9.80 (14),9.80 (14),
825236,thebluestart,9.80 (14),9.80 (14),
825520,VoNguyenPhat,9.60 (15),9.60 (15),
825510,siuchampion,9.60 (15),9.60 (15),
825476,phamgiakiet273,9.60 (15),9.60 (15),
825296,ai_avenger,9.60 (15),9.60 (15),
825262,aio_bbshark,9.60 (15),9.60 (15),
824859,ToTuanAn,9.60 (15),9.60 (15),
824875,seed_3_last_hope,9.40 (16),9.40 (16),
825346,tb-tian,9.20 (17),9.20 (17),
825337,ttqminh2005,9.20 (17),9.20 (17),
825472,hungvtm,9.00 (18),9.00 (18),
825319,aio_aisight,9.00 (18),9.00 (18),
825310,AI_Primary,9.00 (18),9.00 (18),
825218,DoThaiDuong_Unknown,9.00 (18),9.00 (18),
825127,nhomhai,9.00 (18),9.00 (18),
825522,aithena_hcmus,8.80 (19),8.80 (19),
825324,Tran_Bao_Son,8.80 (19),8.80 (19),
825249,bmeazy,8.80 (19),8.80 (19),
825104,zoanhy,8.80 (19),8.80 (19),
825019,ArgusTeam,8.80 (19),8.80 (19),
825336,InventedForFuture,8.60 (20),8.60 (20),
825312,IUS_Horus,8.60 (20),8.60 (20),
825240,ldn694,8.60 (20),8.60 (20),
825470,Quy,8.20 (21),8.20 (21),
825350,linhnv,8.20 (21),8.20 (21),
825517,EmberintheAshes,8.00 (22),8.00 (22),
825466,NaiveNotNice.,8.00 (22),8.00 (22),
825260,Thereddinosaur,8.00 (22),8.00 (22),
825235,baolequoc1010,8.00 (22),8.00 (22),
825098,Star_team,8.00 (22),8.00 (22),
825026,Kumo,8.00 (22),8.00 (22),
824933,AIO_BrainyBots,8.00 (22),8.00 (22),
825318,ptq.us,7.80 (23),7.80 (23),
825137,cntn51,7.80 (23),7.80 (23),
825083,AIO_WAO_HCMAI,7.80 (23),7.80 (23),
825251,BCBoyz,7.60 (24),7.60 (24),
825245,vietnamese.tet,7.60 (24),7.60 (24),
825231,phuong.kieu2603,7.60 (24),7.60 (24),
825320,xuandien,7.40 (25),7.40 (25),
825269,dolphin_team2357,7.40 (25),7.40 (25),
825514,aio_deep,7.20 (26),7.20 (26),
825340,n01player,7.20 (26),7.20 (26),
825531,Chicken,7.00 (27),7.00 (27),
825523,jenicius,7.00 (27),7.00 (27),
825516,Rt-lttrung,7.00 (27),7.00 (27),
825464,vtphatt2,7.00 (27),7.00 (27),
825233,tabao,7.00 (27),7.00 (27),
825217,Anthropocene,7.00 (27),7.00 (27),
825469,brotherhood5,6.80 (28),6.80 (28),
825335,luanhoangbui,6.80 (28),6.80 (28),
824922,HITClub,6.80 (28),6.80 (28),
825334,AIO_Hubew,6.40 (29),6.40 (29),
825515,ngocduy2514,6.00 (30),6.00 (30),
825317,anhminh2909,6.00 (30),6.00 (30),
825299,hoaiht,6.00 (30),6.00 (30),
825261,ITNeverLate,6.00 (30),6.00 (30),
825241,comuathu1011,5.80 (31),5.80 (31),
825333,HKirito,5.60 (32),5.60 (32),
825228,Giant_Ants,5.40 (33),5.40 (33),
825512,yangtuananh,5.20 (34),5.20 (34),
825283,presencesw,5.20 (34),5.20 (34),
825106,aio_tmb,5.20 (34),5.20 (34),
825513,minhanh29,5.00 (35),5.00 (35),
825474,trivi2001,5.00 (35),5.00 (35),
825342,vgu_warriors,5.00 (35),5.00 (35),
825243,ThuongBuiRVC,5.00 (35),5.00 (35),
825144,SKT_T1,5.00 (35),5.00 (35),
825530,sabertoaster,4.80 (36),4.80 (36),
825518,HoangNhoo,4.80 (36),4.80 (36),
825331,theseekers,4.80 (36),4.80 (36),
825128,sbirhcm,4.80 (36),4.80 (36),
825247,Flavor,4.60 (37),4.60 (37),
825116,tvminh19,4.60 (37),4.60 (37),
825527,Capybaraaaa,4.00 (38),4.00 (38),
825473,AIO_ITCC,4.00 (38),4.00 (38),
825303,DucNguyen25,4.00 (38),4.00 (38),
825141,nguyenthianhthu,4.00 (38),4.00 (38),
825108,RTX_2080Ti,4.00 (38),4.00 (38),
825305,nandhcmai2024,3.60 (39),3.60 (39),
825288,SeaI,3.60 (39),3.60 (39),
824902,nhidang912,3.60 (39),3.60 (39),
825529,thi,3.40 (40),3.40 (40),
824787,TheChampion,3.40 (40),3.40 (40),
825345,enigmas,3.20 (41),3.20 (41),
825344,thanhtronggg,3.20 (41),3.20 (41),
824878,audihop354,3.20 (41),3.20 (41),
825463,LauDaiTinhAI,3.00 (42),3.00 (42),
825119,NLP_Newbies,2.00 (43),2.00 (43),
824985,mooner,2.00 (43),2.00 (43),
825458,thinhaichallenge123,1.80 (44),1.80 (44),
825234,WORRIER,1.60 (45),1.60 (45),
825339,AIronman,1.00 (46),1.00 (46),
825275,ducnd58233,1.00 (46),1.00 (46),
825316,milanac,0.40 (47),0.40 (47),
825524,TheShelbys,0.00 (48),0.00 (48),
825508,Tublifet,0.00 (48),0.00 (48),
825461,hontrn9122,0.00 (48),0.00 (48),
825351,nguyenChiTinh,0.00 (48),0.00 (48),
825341,ultron,0.00 (48),0.00 (48),
825329,aim_aic2024,0.00 (48),0.00 (48),
825326,thoreus,0.00 (48),0.00 (48),
825323,namanh.ngco,0.00 (48),0.00 (48),
825290,NIDIM,0.00 (48),0.00 (48),
825248,kaldemon,0.00 (48),0.00 (48),
825244,nguyendvk,0.00 (48),0.00 (48),
825135,quainhan1110,0.00 (48),0.00 (48),
825085,tranduytan24,0.00 (48),0.00 (48),
825035,fourfive123,0.00 (48),0.00 (48),
824930,quocthinh73,0.00 (48),0.00 (48),
824876,iscsuit,0.00 (48),0.00 (48),
824785,Legacy,0.00 (48),0.00 (48),
